DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,AT,2019,82.0,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,BE,2019,82.1,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,BG,2019,75.1,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,CY,2019,82.3,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,CZ,2019,79.3,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,DE,2019,81.3,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,DK,2019,81.5,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,EE,2019,79.0,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,EL,2019,81.7,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,ES,2019,84.0,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,FI,2019,82.1,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,FR,2019,83.0,p
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,HR,2019,78.6,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,HU,2019,76.5,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,IE,2019,82.8,e
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,IT,2019,83.6,b
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,LT,2019,76.5,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,LU,2019,82.7,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,LV,2019,75.7,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,MT,2019,82.9,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,NL,2019,82.2,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,PL,2019,78.0,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,PT,2019,81.9,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,RO,2019,75.6,e
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,SE,2019,83.2,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,SI,2019,81.6,
ESTAT:DEMO_MLEXPEC(1.0),28/04/21 11:00:00,A,YR,T,Y_LT1,SK,2019,77.8,
