DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,AT,2019,138.8,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,BE,2019,134.0,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,BG,2019,28.8,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,CY,2019,90.5,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,CZ,2019,59.0,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,DE,2019,131.6,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,DK,2019,164.3,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EE,2019,61.6,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,EL,2019,65.1,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,ES,2019,87.7,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,FI,2019,143.1,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,FR,2019,119.8,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,HR,2019,44.6,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,HU,2019,42.3,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IE,2019,130.9,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,IT,2019,102.9,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LT,2019,59.5,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LU,2019,215.5,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,LV,2019,52.1,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,MT,2019,75.2,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,NL,2019,136.9,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,PL,2019,45.4,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,PT,2019,74.3,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,RO,2019,39.5,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,SE,2019,142.8,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,SI,2019,71.3,
ESTAT:NAMA_10_PC(1.0),13/04/22 23:00:00,A,PC_EU27_2020_HAB_MEUR_CP,P41,SK,2019,55.0,
