"id","energy","time","wday","lights","t1","h1","t2","h2","t3","h3","t4","h4","t5","h5","t6","h6","t7","h7","t8","h8","t9","h9","t_out","press","r_out","windspeed","visibility","tdewpoint","r1","r2"
1,60,"08:20:00","Mon",0,21.2,NA,18.39,43.09,21.9266666666667,36.79,19.6,37.7,19.39,43.4666666666667,6.76333333333333,71.8933333333333,19.2,32.79,22.39,42.09,19.6,40.73,6.1,761.366666666667,94,3,48.6666666666667,5.13333333333333,45.1526014134288,45.1526014134288
2,150,"19:50:00","Thu",0,20.1,NA,19.1333333333333,37.2,18.7,39.9,17.7,39.09,18.255,40.7972222222222,-1.96666666666667,92.3966666666667,17.0888888888889,28.6538888888889,19.4877777777778,37.6488888888889,16,37.23,-0.633333333333333,764.666666666667,84,1.83333333333333,63.1666666666667,-3.03333333333333,1.08931142603979,1.08931142603979
3,30,"12:40:00","Wed",0,19.76,NA,18.89,45.7,19.9633333333333,45.1633333333333,18.6,47.2,17.5,55.09,11.13,86.73,17.79,45,17.7,50.59,17.1,48.9,11.0666666666667,756.733333333333,83,10.6666666666667,36.3333333333333,8.26666666666667,12.3446846264414,12.3446846264414
4,20,"15:10:00","Wed",0,19.7,46.09,18.79,45.79,19.89,45.26,18.5,47.4333333333333,17.5,54.7,11.6,79.4966666666667,17.76,44.9166666666667,17.71,50.7,17.1,48.79,11.2666666666667,755.466666666667,81,9.83333333333333,40,8.16666666666667,26.6202820581384,26.6202820581384
5,80,"14:00:00","Tue",0,20.1,40.7333333333333,18.39,37.495,20.3566666666667,35.79,19.1,34.8333333333333,17.5,43.3266666666667,NA,80.5333333333333,18.7,29.9266666666667,19.89,37,18,36.5,3.6,756.1,94,8,41,2.7,19.8030590312555,19.8030590312555
6,40,"08:10:00","Fri",0,19.7,36.4,17.7,37.09,20,37.8214285714286,18.29,35.8266666666667,17,44.6371428571429,-1.42666666666667,83.33,17.2,30.5,19.5,40.4433333333333,17.5,39.054,-0.983333333333333,760.05,95.6666666666667,2.16666666666667,61.3333333333333,-1.61666666666667,40.8043575822376,40.8043575822376
7,60,"02:00:00","Tue",0,21.2,43.59,19.6333333333333,44.23,21.6333333333333,42.4333333333333,21.6,41.9333333333333,19.2257142857143,51.6471428571429,4.3,87.59,19.29,43.09,21.5,49.26,18.54,45.4,3.9,753.7,96,2,24,3.3,49.5526287471876,49.5526287471876
8,60,"06:50:00","Thu",0,20.7,36.23,17.1,40.59,22.0333333333333,36.1266666666667,20.1,32.9,18.4266666666667,45.1266666666667,-1.19333333333333,54.16,19.7,28.1,22.1,40.2,19.6,39.29,-0.433333333333333,766.233333333333,87.1666666666667,1.16666666666667,62.8333333333333,-2.38333333333333,20.8508805721067,20.8508805721067
9,70,"23:00:00","Fri",10,23.2,39.5,22.39,38.3266666666667,21.1,41.9,21.5666666666667,42.9333333333333,20.73,72.7333333333333,2.32666666666667,94.56,19,40.23,20.79,45.49,17.6,45.5,2.7,760.6,95,3,40,2,26.653030293528,26.653030293528
10,90,"18:10:00","Tue",30,20,NA,18.8566666666667,43.4666666666667,19.79,44.4666666666667,20.29,43.6266666666667,17.5,50.8266666666667,5.06,84.2566666666667,18.2,39.3266666666667,18.6,46.6266666666667,17.0333333333333,42.8266666666667,5.3,744.75,86,6.83333333333333,40,3.15,27.8579769423231,27.8579769423231
11,30,"02:40:00","Sat",0,19.5,37.3633333333333,17.7,38.9,20.772,37.218,17.89,37.3633333333333,17.08,44.44,5.3,85.8233333333333,18,32.3266666666667,19.5,44.06,17.6,40.0266666666667,5.23333333333333,755.533333333333,91.6666666666667,9.66666666666667,37.3333333333333,3.93333333333333,0.99426256492734,0.99426256492734
12,30,"06:40:00","Fri",0,20.29,36.2,16.7,41.79,20.5666666666667,37.4,19.79,34.09,17.79,49.79,0,70.8633333333333,19.39,35.6266666666667,20.89,43,18.1,41.06,-0.866666666666667,764,93.3333333333333,1,23.3333333333333,-1.83333333333333,9.36634716344997,9.36634716344997
13,50,"03:40:00","Tue",0,22.29,45.9333333333333,21.39,45.5,23.26,45.93,20.6,48.9,19.89,59.1572222222222,10.19,99.9,18.79,46.2,20.79,56.29,18.1,52.2,10.1666666666667,759.2,96.6666666666667,4.66666666666667,42,9.63333333333333,0.812273647170514,0.812273647170514
14,40,"15:10:00","Thu",0,20.39,34.09,18.7,34.8266666666667,19.79,36.4857142857143,19.1666666666667,33.59,17.39,43.378,6.26333333333333,50.9666666666667,17.7,27.79,19.5571428571429,34.8985714285714,17.7,36.072,3.6,755.85,73.6666666666667,3.83333333333333,21.1666666666667,-0.7,46.6318347491324,46.6318347491324
15,40,"05:20:00","Thu",0,18.89,46.9,18.1666666666667,46.7,19.5333333333333,45.09,17.89,47.7,17.29,53.4777777777778,7.22666666666667,99.9,17.39,44.3327777777778,17.4877777777778,50.6877777777778,16.89,48.53,7.16666666666667,760.533333333333,88.3333333333333,4,36.3333333333333,5.33333333333333,10.901993419975,10.901993419975
16,90,"21:50:00","Mon",20,21.79,NA,20.6,43.9333333333333,21.6,42.29,21.39,42.59,20,65.7685714285714,5.69,88.09,19.39,41.4633333333333,22,46.8633333333333,18.5,44.09,5.13333333333333,753.45,97,1,27.5,4.65,36.1671073478647,36.1671073478647
17,380,"21:00:00","Tue",20,19.5666666666667,40.1566666666667,18.65,40.29,20.4633333333333,41.43,19.7933333333333,36.4666666666667,17.79,50.0633333333333,-5.585,82.3444444444444,17.79,29.73,20.5,40.4333333333333,16.39,35.3633333333333,-4.5,758.2,94,2,61,-5.4,32.331453752704,32.331453752704
18,100,"17:00:00","Thu",0,20,33.9666666666667,18.3233333333333,34.9,19.7257142857143,36.29,18.6666666666667,33.9333333333333,17.29,42.79,4.88333333333333,60.6083333333333,17.6333333333333,28.39,19.5,36.036,17.6,35.2771428571429,3.1,756.2,79,2,29,-0.3,24.613579234574,24.613579234574
19,50,"16:50:00","Mon",0,20.79,37.2,19.4633333333333,36.79,21,36.9,19,35.06,17.6,48.6633333333333,5.33333333333333,54.4,20.76,28.3233333333333,21.7,34.59,18.2,42,5.06666666666667,762.65,63.6666666666667,5.33333333333333,40,-1.31666666666667,31.7673205048777,31.7673205048777
20,120,"21:10:00","Wed",20,21.8233333333333,37.29,20.39,37.8725,21.0666666666667,37.9,20.2,37.1633333333333,19.6633333333333,56.1966666666667,0.266666666666667,80.53,19.9685714285714,32.59,22.29,38.23,18.14,36.5,1.28333333333333,755.816666666667,85.3333333333333,1,27.6666666666667,-0.883333333333333,4.41520563326776,4.41520563326776
21,50,"15:20:00","Fri",0,20.79,36.6633333333333,19.4633333333333,36.5266666666667,21.1,36.53,19.8233333333333,34.79,18.16,44.378,9.33,34.3933333333333,18.79,28.7528571428571,19.7,36.26,18,37.5266666666667,5.86666666666667,752.633333333333,46.6666666666667,2,40,-4.73333333333333,48.5642697312869,48.5642697312869
22,100,"20:20:00","Sun",30,22.5,43.2933333333333,20.7818181818182,40.05,20.9266666666667,40.6266666666667,21.2,37.29,20.43,80.28,-3.545,91.8725,20.5,31.445,22.39,39.9,17.79,37.345,-1.3,764.7,75.3333333333333,2.33333333333333,35.3333333333333,-5.13333333333333,24.6357917552814,24.6357917552814
23,60,"23:40:00","Fri",10,23.1,39.76,22.26,38.6633333333333,21.0666666666667,41.9,21.29,43.6266666666667,20.39,63.8666666666667,2.23,94.59,18.79,40.245,20.6,47.0666666666667,17.79,46.6266666666667,2.5,760.933333333333,96.3333333333333,3,32,1.93333333333333,7.63940706383437,7.63940706383437
24,630,"19:00:00","Wed",0,21.39,42.1,20.39,38.09,20.89,39.76,19.8566666666667,37.1633333333333,18,46.1266666666667,3.52666666666667,73.5233333333333,18.79,31.29,21.815,40.6725,18.29,38.6266666666667,3.7,743.1,85,8,40,1.3,31.2486984301358,31.2486984301358
25,510,"13:40:00","Mon",10,23,44.43,22.5,42.9666666666667,23.195,47.545,19.5,48.6633333333333,21.0944444444444,47.4155555555556,11.89,73.0633333333333,18.8788888888889,44.28,19.89,50.3633333333333,17.7,49.4666666666667,11.3666666666667,759.933333333333,76.6666666666667,9.33333333333333,32,7.4,40.7113496330567,40.7113496330567
26,450,"20:40:00","Tue",20,19.39,40.4333333333333,18.4266666666667,40.59,20.6,42.66,18.5333333333333,36.7,17.6666666666667,54.2233333333333,NA,82.4105555555556,17.89,30,20.4633333333333,40.7,16.39,35.6633333333333,-4,758.2,92.3333333333333,1.33333333333333,61.3333333333333,-5.13333333333333,34.0227544424124,34.0227544424124
27,170,"12:00:00","Wed",0,21.6333333333333,42.1566666666667,21.29,40.8333333333333,22.6333333333333,39.73,21.2,41.9333333333333,20.0666666666667,47.8633333333333,13.53,15.63,20.89,34.09,23.79,41.6333333333333,20.5,40.26,9.6,753.3,66,6,29,3.5,1.15296740550548,1.15296740550548
28,50,"05:00:00","Fri",0,20.2,36,18.29,37.2,20.2,38.09,18.2,36.5,17.0571428571429,45.6528571428571,0.733333333333333,82.8966666666667,17.39,31.89,19.89,43.9,17.6,40.2,1,758.9,100,3,4,1,31.9242318393663,31.9242318393663
29,50,"15:40:00","Mon",0,20.9266666666667,43.2,19.89,43.29,20.39,44.29,18.5,44.9,18.5888888888889,47.9111111111111,11.83,79.59,19.6,39.1327777777778,20.3177777777778,45.245,17.1,49,12.7,761.966666666667,59,5,40,4.83333333333333,26.3831327902153,26.3831327902153
